indice_tiempo,tipo_alojamiento,turistas
2021-01-01,Camping,165778
2021-01-01,Hotel o similar hasta 3 estrellas,1086364
2021-01-01,Hotel similar 4 o 5 estrellas,84179
2021-01-01,Resto,24253
2021-01-01,Segunda vivienda del hogar,1581543
2021-01-01,Vivienda alquilada por temporada,1113784
2021-01-01,Vivienda de familiares y amigos,2174700
2021-04-01,Camping,38799
2021-04-01,Hotel o similar hasta 3 estrellas,307625
2021-04-01,Hotel similar 4 o 5 estrellas,61391
2021-04-01,Resto,3152
2021-04-01,Segunda vivienda del hogar,510852
2021-04-01,Vivienda alquilada por temporada,158794
2021-04-01,Vivienda de familiares y amigos,1168380
2021-07-01,Camping,184052
2021-07-01,Hotel o similar hasta 3 estrellas,968043
2021-07-01,Hotel similar 4 o 5 estrellas,235475
2021-07-01,Resto,32335
2021-07-01,Segunda vivienda del hogar,898643
2021-07-01,Vivienda alquilada por temporada,209102
2021-07-01,Vivienda de familiares y amigos,1558969
2021-10-01,Camping,209669
2021-10-01,Hotel o similar hasta 3 estrellas,1619531
2021-10-01,Hotel similar 4 o 5 estrellas,146828
2021-10-01,Resto,197751
2021-10-01,Segunda vivienda del hogar,675553
2021-10-01,Vivienda alquilada por temporada,235672
2021-10-01,Vivienda de familiares y amigos,2266253
2022-01-01,Camping,482299
2022-01-01,Hotel o similar hasta 3 estrellas,2612061
2022-01-01,Hotel similar 4 o 5 estrellas,234872
2022-01-01,Resto,82904
2022-01-01,Segunda vivienda del hogar,2556773
2022-01-01,Vivienda alquilada por temporada,3390677
2022-01-01,Vivienda de familiares y amigos,3028810
2022-04-01,Camping,113563
2022-04-01,Hotel o similar hasta 3 estrellas,858359
2022-04-01,Hotel similar 4 o 5 estrellas,129152
2022-04-01,Resto,3843
2022-04-01,Segunda vivienda del hogar,1480746
2022-04-01,Vivienda alquilada por temporada,673971
2022-04-01,Vivienda de familiares y amigos,2123279
2022-07-01,Camping,87430
2022-07-01,Hotel o similar hasta 3 estrellas,1511545
2022-07-01,Hotel similar 4 o 5 estrellas,234656
2022-07-01,Resto,11027
2022-07-01,Segunda vivienda del hogar,1429765
2022-07-01,Vivienda alquilada por temporada,710903
2022-07-01,Vivienda de familiares y amigos,2140974
2022-10-01,Camping,181465
2022-10-01,Hotel o similar hasta 3 estrellas,1405670
2022-10-01,Hotel similar 4 o 5 estrellas,419035
2022-10-01,Resto,27744
2022-10-01,Segunda vivienda del hogar,2197037
2022-10-01,Vivienda alquilada por temporada,774360
2022-10-01,Vivienda de familiares y amigos,2144347
2023-01-01,Camping,423248
2023-01-01,Hotel o similar hasta 3 estrellas,1972729
2023-01-01,Hotel similar 4 o 5 estrellas,308226
2023-01-01,Resto,40804
2023-01-01,Segunda vivienda del hogar,2046430
2023-01-01,Vivienda alquilada por temporada,2641578
2023-01-01,Vivienda de familiares y amigos,3686811
2023-04-01,Camping,76814
2023-04-01,Hotel o similar hasta 3 estrellas,1420274
2023-04-01,Hotel similar 4 o 5 estrellas,254850
2023-04-01,Resto,10074
2023-04-01,Segunda vivienda del hogar,969656
2023-04-01,Vivienda alquilada por temporada,579970
2023-04-01,Vivienda de familiares y amigos,1560803
2023-07-01,Camping,73584.88
2023-07-01,Hotel o similar hasta 3 estrellas,1138792.38
2023-07-01,Hotel similar 4 o 5 estrellas,299742.02
2023-07-01,Resto,52312.98
2023-07-01,Segunda vivienda del hogar,1180961.01
2023-07-01,Vivienda alquilada por temporada,655536.12
2023-07-01,Vivienda de familiares y amigos,1728515.08
2023-10-01,Camping,222944
