indice_tiempo,region_origen,turistas
2023-04-01,Córdoba,488360
2023-04-01,Litoral,860649
2023-04-01,Norte,421039
2023-04-01,PBA - Partidos del GBA,1259566
2023-04-01,PBA - Resto,527013
2023-04-01,Patagonia,330759
2023-07-01,CABA,669576.67
2023-07-01,Cuyo,499656.25
2023-07-01,Córdoba,639528.7
2023-07-01,Litoral,647390.37
2023-07-01,Norte,442068.13
2023-07-01,PBA - Partidos del GBA,1577307.93
2023-07-01,PBA - Resto,399962.86
2023-07-01,Patagonia,253953.56
2023-10-01,CABA,1068565
2023-10-01,Cuyo,364478
2023-10-01,Córdoba,397724
2023-10-01,Litoral,848136
2023-10-01,Norte,479310
2023-10-01,PBA - Partidos del GBA,1666706
2023-10-01,PBA - Resto,480375
2023-10-01,Patagonia,448382
2024-01-01,CABA,1525824
2024-01-01,Cuyo,678977
2024-01-01,Córdoba,682038
2024-01-01,Litoral,1052185
2024-01-01,Norte,1261257
2024-01-01,PBA - Partidos del GBA,3749944
2024-01-01,PBA - Resto,556263
2024-01-01,Patagonia,537434
2024-04-01,CABA,607249
2024-04-01,Cuyo,198415
2024-04-01,Córdoba,358402
2024-04-01,Litoral,658548
2024-04-01,Norte,582381
2024-04-01,PBA - Partidos del GBA,1192319
2024-04-01,PBA - Resto,295975
2024-04-01,Patagonia,171344
