indice_tiempo,region_destino,gasto_promedio
2020-01-01,Litoral,4263.32518
2020-01-01,Norte,6072.739
2020-01-01,PBA - Partidos del GBA,3461.78234
2020-01-01,PBA - Resto,8905.34185
2020-01-01,Patagonia,13748.69272
2020-04-01,CABA,3934.09566
2020-04-01,Cuyo,2290.8051
2020-04-01,Córdoba,4243.7361
2020-04-01,Litoral,1761.53911
2020-04-01,Norte,3155.79533
2020-04-01,PBA - Partidos del GBA,2500
2020-04-01,PBA - Resto,1665.79739
2020-04-01,Patagonia,3364.58644
2020-07-01,CABA,1981.14846
2020-07-01,Cuyo,1875.06051
2020-07-01,Córdoba,1819.39147
2020-07-01,Litoral,2072.31899
2020-07-01,Norte,1417.14178
2020-07-01,PBA - Partidos del GBA,2261.17212
2020-07-01,PBA - Resto,1298.04895
2020-07-01,Patagonia,3600.65003
2020-10-01,CABA,11270.35391
2020-10-01,Cuyo,3583.0695
2020-10-01,Córdoba,3057.90032
2020-10-01,Litoral,3087.38054
2020-10-01,Norte,3862.2396
2020-10-01,PBA - Partidos del GBA,2525.97418
2020-10-01,PBA - Resto,8297.19131
2020-10-01,Patagonia,7442.49368
2021-01-01,CABA,6202.96022
2021-01-01,Cuyo,9809.93953
2021-01-01,Córdoba,9781.13854
2021-01-01,Litoral,6056.54674
2021-01-01,Norte,7510.65352
2021-01-01,PBA - Partidos del GBA,6613.32912
2021-01-01,PBA - Resto,11408.14878
2021-01-01,Patagonia,15845.38336
2021-04-01,CABA,36250.60054
2021-04-01,Cuyo,5839.93715
2021-04-01,Córdoba,8521.81718
2021-04-01,Litoral,4730.52881
2021-04-01,Norte,3687.46762
2021-04-01,PBA - Partidos del GBA,4634.66303
2021-04-01,PBA - Resto,3963.04574
2021-04-01,Patagonia,22805.1102
2021-07-01,CABA,10120.78286
2021-07-01,Cuyo,7588.88245
2021-07-01,Córdoba,10288.48218
2021-07-01,Litoral,8700.392
2021-07-01,Norte,9060.59691
2021-07-01,PBA - Partidos del GBA,3980.23816
2021-07-01,PBA - Resto,8450.25778
2021-07-01,Patagonia,23461.23803
2021-10-01,CABA,30213.39044
2021-10-01,Cuyo,15571.91671
2021-10-01,Córdoba,9840.12436
2021-10-01,Litoral,10201.8061
2021-10-01,Norte,10205.43147
2021-10-01,PBA - Partidos del GBA,11143.46531
2021-10-01,PBA - Resto,13419.02923
2021-10-01,Patagonia,29867.53201
2022-01-01,CABA,23215.44382
2022-01-01,Cuyo,27359.61998
2022-01-01,Córdoba,37429.4282
2022-01-01,Litoral,19268.23314
2022-01-01,Norte,17832.02478
2022-01-01,PBA - Partidos del GBA,18204.95505
2022-01-01,PBA - Resto,21662.6342
2022-01-01,Patagonia,39671.4554
2022-04-01,CABA,17336.10351
2022-04-01,Cuyo,12144.5799
2022-04-01,Córdoba,14332.96031
2022-04-01,Litoral,12201.57341
2022-04-01,Norte,12506.39672
2022-04-01,PBA - Partidos del GBA,3944.81583
2022-04-01,PBA - Resto,8712.8333
2022-04-01,Patagonia,39082.94153
2022-07-01,CABA,33314.54819
2022-07-01,Cuyo,25420.70737
2022-07-01,Córdoba,15930.73327
2022-07-01,Litoral,28496.61655
2022-07-01,Norte,25446.33686
2022-07-01,PBA - Partidos del GBA,11986.65095
2022-07-01,PBA - Resto,8781.42333
2022-07-01,Patagonia,52643.28925
2022-10-01,CABA,38950.423
2022-10-01,Cuyo,22581.00617
2022-10-01,Córdoba,23701.32769
2022-10-01,Litoral,17115.1082
2022-10-01,Norte,22638.8133
2022-10-01,PBA - Partidos del GBA,9337.305
2022-10-01,PBA - Resto,22193.2715
2022-10-01,Patagonia,55169.55803
2023-01-01,CABA,41883.58912
2023-01-01,Cuyo,28553.40837
2023-01-01,Córdoba,32487.96807
2023-01-01,Litoral,24187.63098
2023-01-01,Norte,20634.74773
2023-01-01,PBA - Partidos del GBA,10476.17628
2023-01-01,PBA - Resto,32946.78283
2023-01-01,Patagonia,38625.40873
2023-04-01,CABA,46670.21889
2023-04-01,Cuyo,24628.16484
2023-04-01,Córdoba,24945.87809
2023-04-01,Litoral,31056.06947
2023-04-01,Norte,42686.77515
2023-04-01,PBA - Partidos del GBA,20035.23149
2023-04-01,PBA - Resto,24154.88857
2023-04-01,Patagonia,52433.71658
2023-07-01,CABA,85632.13395
2023-07-01,Cuyo,48841.9662
2023-07-01,Córdoba,45945.07113
2023-07-01,Litoral,58327.40088
2023-07-01,Norte,62281.82848
2023-07-01,PBA - Partidos del GBA,23069.58006
2023-07-01,PBA - Resto,48706.03981
2023-07-01,Patagonia,113354.93386
2023-10-01,CABA,133290.8157
2023-10-01,Cuyo,192803.6673
2023-10-01,Córdoba,69745.92029
2023-10-01,Litoral,53583.05164
2023-10-01,Norte,52953.67977
2023-10-01,PBA - Partidos del GBA,51058.01716
2023-10-01,PBA - Resto,64389.32711
2023-10-01,Patagonia,144445.36914
2024-01-01,CABA,68341.23763
2024-01-01,Cuyo,60007.09398
2024-01-01,Córdoba,80134.72972
2024-01-01,Litoral,64614.93806
2024-01-01,Norte,62704.30638
2024-01-01,PBA - Partidos del GBA,39725.83819
2024-01-01,PBA - Resto,85721.3416
2024-01-01,Patagonia,126178.22311
2024-04-01,CABA,207942.0936
2024-04-01,Cuyo,135921.40477
2024-04-01,Córdoba,87466.63697
2024-04-01,Litoral,90050.42881
2024-04-01,Norte,76306.79066
2024-04-01,PBA - Partidos del GBA,57545.33183
2024-04-01,PBA - Resto,82581.42393
2024-04-01,Patagonia,151993.91291
