indice_tiempo,region_destino,gasto_pesos_corrientes
2020-04-01,PBA - Resto,49824000
2020-04-01,Patagonia,11268000
2020-07-01,CABA,28290800
2020-07-01,Cuyo,99942600
2020-07-01,Córdoba,50946600
2020-07-01,Litoral,275657800
2020-07-01,Norte,135069200
2020-07-01,PBA - Partidos del GBA,109535700
2020-07-01,PBA - Resto,348887000
2020-07-01,Patagonia,69240500
2020-10-01,CABA,481818900
2020-10-01,Cuyo,422551386
2020-10-01,Córdoba,1050064621
2020-10-01,Litoral,1525116589
2020-10-01,Norte,848619010
2020-10-01,PBA - Partidos del GBA,227203800
2020-10-01,PBA - Resto,9732074386
2020-10-01,Patagonia,1427306552
2021-01-01,CABA,496032120
2021-01-01,Cuyo,3960017530
2021-01-01,Córdoba,8871169882
2021-01-01,Litoral,5561096991
2021-01-01,Norte,3947193917
2021-01-01,PBA - Partidos del GBA,430633539
2021-01-01,PBA - Resto,32269614415
2021-01-01,Patagonia,7962130838
2021-04-01,CABA,676073700
2021-04-01,Cuyo,1072329260
2021-04-01,Córdoba,2110487676
2021-04-01,Litoral,2816036498
2021-04-01,Norte,1061396994
2021-04-01,PBA - Partidos del GBA,370569117
2021-04-01,PBA - Resto,2455891520
2021-04-01,Patagonia,4932357649
2021-07-01,CABA,2249242783
2021-07-01,Cuyo,2135815075
2021-07-01,Córdoba,4293157267
2021-07-01,Litoral,6803489031
2021-07-01,Norte,4902380930
2021-07-01,PBA - Partidos del GBA,307170900
2021-07-01,PBA - Resto,11322398994
2021-07-01,Patagonia,9984117534
2021-10-01,CABA,2992575896
2021-10-01,Cuyo,7207165781
2021-10-01,Córdoba,6604101063
2021-10-01,Litoral,9369093876
2021-10-01,Norte,6628886985
2021-10-01,PBA - Partidos del GBA,870928675
2021-10-01,PBA - Resto,26247084405
2021-10-01,Patagonia,15417649890
2022-01-01,CABA,2112187510
2022-01-01,Cuyo,23906699139
2022-01-01,Córdoba,51175235994
2022-01-01,Litoral,30910427168
2022-01-01,Norte,18033687145
2022-01-01,PBA - Partidos del GBA,3296680695
2022-01-01,PBA - Resto,127359803860
2022-01-01,Patagonia,54767277281
2022-04-01,CABA,3127866476
2022-04-01,Cuyo,5637040352
2022-04-01,Córdoba,10031911250
2022-04-01,Litoral,9488785396
2022-04-01,Norte,8590193676
2022-04-01,PBA - Partidos del GBA,749629408
2022-04-01,PBA - Resto,17361104498
2022-04-01,Patagonia,15291435373
2022-07-01,CABA,7992659829
2022-07-01,Cuyo,14213403848
2022-07-01,Córdoba,11865305723
2022-07-01,Litoral,31830806178
2022-07-01,Norte,26059542687
2022-07-01,PBA - Partidos del GBA,1300036202
2022-07-01,PBA - Resto,16294949632
2022-07-01,Patagonia,25125483805
2022-10-01,CABA,15713496496
2022-10-01,Cuyo,10763778534
2022-10-01,Córdoba,27991244306
2022-10-01,Litoral,21285426810
2022-10-01,Norte,17357449825
2022-10-01,PBA - Partidos del GBA,8843538976
2022-10-01,PBA - Resto,37410731714
2022-10-01,Patagonia,24571914281
2023-01-01,CABA,4282722638
2023-01-01,Cuyo,14441343137
2023-01-01,Córdoba,44223856684
2023-01-01,Litoral,44257728976
2023-01-01,Norte,19450230667
2023-01-01,PBA - Partidos del GBA,1712299585
2023-01-01,PBA - Resto,171662424915
2023-01-01,Patagonia,38797871184
2023-04-01,CABA,7424065070
2023-04-01,Cuyo,8796860315
2023-04-01,Córdoba,15177496307
2023-04-01,Litoral,35604199784
2023-04-01,Norte,19798254375
2023-04-01,PBA - Partidos del GBA,1286141650
2023-04-01,PBA - Resto,41043624343
