indice_tiempo,region_destino,estadia_media
2020-07-01,PBA - Partidos del GBA,9.11
2020-07-01,PBA - Resto,1.77
2020-07-01,Patagonia,2.3
2020-10-01,CABA,4.59
2020-10-01,Cuyo,3.08
2020-10-01,Córdoba,3.04
2020-10-01,Litoral,3
2020-10-01,Norte,3.71
2020-10-01,PBA - Partidos del GBA,3.21
2020-10-01,PBA - Resto,6.76
2020-10-01,Patagonia,5.32
2021-01-01,CABA,5.08
2021-01-01,Cuyo,6.81
2021-01-01,Córdoba,5.43
2021-01-01,Litoral,5.26
2021-01-01,Norte,6.08
2021-01-01,PBA - Partidos del GBA,12.28
2021-01-01,PBA - Resto,7.49
2021-01-01,Patagonia,7.66
2021-04-01,CABA,7.04
2021-04-01,Cuyo,2.78
2021-04-01,Córdoba,5.09
2021-04-01,Litoral,3.15
2021-04-01,Norte,4.66
2021-04-01,PBA - Partidos del GBA,3.42
2021-04-01,PBA - Resto,2.92
2021-04-01,Patagonia,14.25
2021-07-01,CABA,2.76
2021-07-01,Cuyo,4.54
2021-07-01,Córdoba,3.05
2021-07-01,Litoral,4.34
2021-07-01,Norte,3.99
2021-07-01,PBA - Partidos del GBA,2.34
2021-07-01,PBA - Resto,4.45
2021-07-01,Patagonia,6.66
2021-10-01,CABA,7.06
2021-10-01,Cuyo,4.06
2021-10-01,Córdoba,3.87
2021-10-01,Litoral,3.71
2021-10-01,Norte,5.06
2021-10-01,PBA - Partidos del GBA,3.93
2021-10-01,PBA - Resto,4.22
2021-10-01,Patagonia,5.89
2022-01-01,CABA,7.31
2022-01-01,Cuyo,6.86
2022-01-01,Córdoba,7.16
2022-01-01,Litoral,5.51
2022-01-01,Norte,6.7
2022-01-01,PBA - Partidos del GBA,3.64
2022-01-01,PBA - Resto,7.12
2022-01-01,Patagonia,9.17
2022-04-01,CABA,3.81
2022-04-01,Cuyo,3
2022-04-01,Córdoba,2.65
2022-04-01,Litoral,2.99
2022-04-01,Norte,3.68
2022-04-01,PBA - Partidos del GBA,2.43
2022-04-01,PBA - Resto,2.76
2022-04-01,Patagonia,4.93
2022-07-01,CABA,5.53
2022-07-01,Cuyo,3.97
2022-07-01,Córdoba,3.88
2022-07-01,Litoral,4.05
2022-07-01,Norte,5.05
2022-07-01,PBA - Partidos del GBA,5.46
2022-07-01,PBA - Resto,2.71
2022-07-01,Patagonia,6
2022-10-01,CABA,3.69
2022-10-01,Cuyo,3.33
2022-10-01,Córdoba,3.84
2022-10-01,Litoral,3.09
2022-10-01,Norte,4.71
2022-10-01,PBA - Partidos del GBA,2.19
2022-10-01,PBA - Resto,3.28
2022-10-01,Patagonia,4.3
2023-01-01,CABA,7.09
2023-01-01,Cuyo,6.77
2023-01-01,Córdoba,7.11
2023-01-01,Litoral,4.73
2023-01-01,Norte,5.22
2023-01-01,PBA - Partidos del GBA,19.11
2023-01-01,PBA - Resto,7.83
2023-01-01,Patagonia,6.71
2023-04-01,CABA,3.56
2023-04-01,Cuyo,3.98
2023-04-01,Córdoba,2.56
2023-04-01,Litoral,3.51
2023-04-01,Norte,3.49
2023-04-01,PBA - Partidos del GBA,3.32
2023-04-01,PBA - Resto,3.08
2023-04-01,Patagonia,6.92
2023-07-01,CABA,5.49
2023-07-01,Cuyo,4.24
2023-07-01,Córdoba,3.26
2023-07-01,Litoral,3.67
2023-07-01,Norte,5.06
2023-07-01,PBA - Partidos del GBA,4.13
2023-07-01,PBA - Resto,3.57
2023-07-01,Patagonia,6.02
2023-10-01,CABA,7.15
2023-10-01,Cuyo,4.21
2023-10-01,Córdoba,3.35
2023-10-01,Litoral,4.22
2023-10-01,Norte,4.41
2023-10-01,PBA - Partidos del GBA,3.08
2023-10-01,PBA - Resto,3.63
2023-10-01,Patagonia,6.49
2024-01-01,CABA,5.25
2024-01-01,Cuyo,4.96
2024-01-01,Córdoba,5.99
2024-01-01,Litoral,5.24
2024-01-01,Norte,5.09
2024-01-01,PBA - Partidos del GBA,5.95
2024-01-01,PBA - Resto,7.18
2024-01-01,Patagonia,7.29
2024-04-01,CABA,4.03
2024-04-01,Cuyo,3.87
2024-04-01,Córdoba,4.34
2024-04-01,Litoral,3.07
2024-04-01,Norte,3.28
2024-04-01,PBA - Partidos del GBA,4.47
2024-04-01,PBA - Resto,3.53
2024-04-01,Patagonia,4.64
