indice_tiempo,localidad,origen_pernoctes,pernoctes,observaciones
2018-02-01,Bahía Blanca,Total,15767,""
2018-02-01,Bahía Blanca,Residentes,15057,""
2018-02-01,Bahía Blanca,No residentes,710,""
2018-02-01,Bariloche,Total,271748,""
2018-02-01,Bariloche,Residentes,209620,""
2018-02-01,Bariloche,No residentes,62128,""
2018-02-01,CABA,Total,814528,""
2018-02-01,CABA,Residentes,409287,""
2018-02-01,CABA,No residentes,405241,""
2018-02-01,Cafayate,Total,23561,""
2018-02-01,Cafayate,Residentes,21075,""
2018-02-01,Cafayate,No residentes,2486,""
2018-02-01,Calafate,Total,143183,""
2018-02-01,Calafate,Residentes,79070,""
2018-02-01,Calafate,No residentes,64113,""
2018-02-01,Carlos Paz,Total,271710,""
2018-02-01,Carlos Paz,Residentes,271407,""
2018-02-01,Carlos Paz,No residentes,303,""
2018-02-01,Catamarca,Total,9544,""
2018-02-01,Catamarca,Residentes,9392,""
2018-02-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Corrientes,Total,32075,""
2018-02-01,Corrientes,Residentes,26895,""
2018-02-01,Corrientes,No residentes,5180,""
2018-02-01,Córdoba,Total,80009,""
2018-02-01,Córdoba,Residentes,66127,""
2018-02-01,Córdoba,No residentes,13882,""
2018-02-01,Formosa,Total,12865,""
2018-02-01,Formosa,Residentes,11375,""
2018-02-01,Formosa,No residentes,1490,""
2018-02-01,Gualeguaychú,Total,46498,""
2018-02-01,Gualeguaychú,Residentes,45869,""
2018-02-01,Gualeguaychú,No residentes,629,""
2018-02-01,Jujuy,Total,23644,""
2018-02-01,Jujuy,Residentes,21319,""
2018-02-01,Jujuy,No residentes,2325,""
2018-02-01,La Angostura,Total,44137,""
2018-02-01,La Angostura,Residentes,38204,""
2018-02-01,La Angostura,No residentes,5933,""
2018-02-01,La Falda,Total,84132,""
2018-02-01,La Falda,Residentes,84105,""
2018-02-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,La Rioja,Total,10727,""
2018-02-01,La Rioja,Residentes,10393,""
2018-02-01,La Rioja,No residentes,334,""
2018-02-01,Las Grutas,Total,46420,""
2018-02-01,Las Grutas,Residentes,46151,""
2018-02-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Malargue-Las Leñas,Total,14955,""
2018-02-01,Malargue-Las Leñas,Residentes,13480,""
2018-02-01,Malargue-Las Leñas,No residentes,1475,""
2018-02-01,Mar Chiquita,Total,21792,""
2018-02-01,Mar Chiquita,Residentes,21792,""
2018-02-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Mar del Plata,Total,815993,""
2018-02-01,Mar del Plata,Residentes,812565,""
2018-02-01,Mar del Plata,No residentes,3428,""
2018-02-01,Mendoza,Total,121901,""
2018-02-01,Mendoza,Residentes,72231,""
2018-02-01,Mendoza,No residentes,49670,""
2018-02-01,Merlo,Total,67099,""
2018-02-01,Merlo,Residentes,67010,""
2018-02-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Mina Clavero,Total,72681,""
2018-02-01,Mina Clavero,Residentes,72645,""
2018-02-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Neuquén,Total,34014,""
2018-02-01,Neuquén,Residentes,31651,""
2018-02-01,Neuquén,No residentes,2363,""
2018-02-01,Paraná,Total,15286,""
2018-02-01,Paraná,Residentes,14979,""
2018-02-01,Paraná,No residentes,307,""
2018-02-01,Pinamar,Total,239898,""
2018-02-01,Pinamar,Residentes,239407,""
2018-02-01,Pinamar,No residentes,491,""
2018-02-01,Posadas,Total,28794,""
2018-02-01,Posadas,Residentes,23099,""
2018-02-01,Posadas,No residentes,5695,""
2018-02-01,Puerto Iguazú,Total,131303,""
2018-02-01,Puerto Iguazú,Residentes,83344,""
2018-02-01,Puerto Iguazú,No residentes,47959,""
2018-02-01,Puerto Madryn,Total,49561,""
2018-02-01,Puerto Madryn,Residentes,45317,""
2018-02-01,Puerto Madryn,No residentes,4244,""
2018-02-01,Rafaela,Total,9405,""
2018-02-01,Rafaela,Residentes,9126,""
2018-02-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Resistencia,Total,27197,""
2018-02-01,Resistencia,Residentes,26114,""
2018-02-01,Resistencia,No residentes,1083,""
2018-02-01,Rio Gallegos,Total,13555,""
2018-02-01,Rio Gallegos,Residentes,11699,""
2018-02-01,Rio Gallegos,No residentes,1856,""
2018-02-01,Rosario,Total,67242,""
2018-02-01,Rosario,Residentes,61366,""
2018-02-01,Rosario,No residentes,5876,""
2018-02-01,Río Cuarto,Total,18708,""
2018-02-01,Río Cuarto,Residentes,18263,""
2018-02-01,Río Cuarto,No residentes,445,""
2018-02-01,Salta,Total,100326,""
2018-02-01,Salta,Residentes,81446,""
2018-02-01,Salta,No residentes,18880,""
2018-02-01,San Juan,Total,18230,""
2018-02-01,San Juan,Residentes,15651,""
2018-02-01,San Juan,No residentes,2579,""
2018-02-01,San Luis,Total,25118,""
2018-02-01,San Luis,Residentes,24367,""
2018-02-01,San Luis,No residentes,751,""
2018-02-01,San Martín de los Andes,Total,72212,""
2018-02-01,San Martín de los Andes,Residentes,59426,""
2018-02-01,San Martín de los Andes,No residentes,12786,""
2018-02-01,San Rafael,Total,58609,""
2018-02-01,San Rafael,Residentes,57800,""
2018-02-01,San Rafael,No residentes,809,""
2018-02-01,Santa Fe,Total,20753,""
2018-02-01,Santa Fe,Residentes,19351,""
2018-02-01,Santa Fe,No residentes,1402,""
2018-02-01,Santa Rosa,Total,24711,""
2018-02-01,Santa Rosa,Residentes,23943,""
2018-02-01,Santa Rosa,No residentes,768,""
2018-02-01,Santiago del Estero,Total,16511,""
2018-02-01,Santiago del Estero,Residentes,16179,""
2018-02-01,Santiago del Estero,No residentes,332,""
2018-02-01,Tandil,Total,39603,""
2018-02-01,Tandil,Residentes,38709,""
2018-02-01,Tandil,No residentes,894,""
2018-02-01,Termas,Total,19453,""
2018-02-01,Termas,Residentes,19355,""
2018-02-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Tucumán,Total,38080,""
2018-02-01,Tucumán,Residentes,36219,""
2018-02-01,Tucumán,No residentes,1861,""
2018-02-01,Ushuaia,Total,73430,""
2018-02-01,Ushuaia,Residentes,37750,""
2018-02-01,Ushuaia,No residentes,35680,""
2018-02-01,Valle de Uco,Total,29045,""
2018-02-01,Valle de Uco,Residentes,19740,""
2018-02-01,Valle de Uco,No residentes,9305,""
2018-02-01,Viedma,Total,5461,""
2018-02-01,Viedma,Residentes,5305,""
2018-02-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Villa General Belgrano,Total,66442,""
2018-02-01,Villa General Belgrano,Residentes,65288,""
2018-02-01,Villa General Belgrano,No residentes,1154,""
2018-02-01,Villa Gesell,Total,353136,""
2018-02-01,Villa Gesell,Residentes,352806,""
2018-02-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Bahía Blanca,Total,15123,""
2018-03-01,Bahía Blanca,Residentes,14497,""
2018-03-01,Bahía Blanca,No residentes,626,""
2018-03-01,Bariloche,Total,168184,""
2018-03-01,Bariloche,Residentes,131184,""
2018-03-01,Bariloche,No residentes,37000,""
2018-03-01,CABA,Total,1013150,""
2018-03-01,CABA,Residentes,522813,""
2018-03-01,CABA,No residentes,490337,""
2018-03-01,Cafayate,Total,12354,""
2018-03-01,Cafayate,Residentes,9528,""
2018-03-01,Cafayate,No residentes,2826,""
2018-03-01,Calafate,Total,101728,""
2018-03-01,Calafate,Residentes,55977,""
2018-03-01,Calafate,No residentes,45751,""
2018-03-01,Carlos Paz,Total,180186,""
2018-03-01,Carlos Paz,Residentes,179864,""
2018-03-01,Carlos Paz,No residentes,322,""
2018-03-01,Catamarca,Total,11659,""
2018-03-01,Catamarca,Residentes,11474,""
2018-03-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Corrientes,Total,22296,""
2018-03-01,Corrientes,Residentes,18939,""
2018-03-01,Corrientes,No residentes,3357,""
2018-03-01,Córdoba,Total,79175,""
2018-03-01,Córdoba,Residentes,66898,""
2018-03-01,Córdoba,No residentes,12277,""
2018-03-01,Formosa,Total,13694,""
2018-03-01,Formosa,Residentes,12115,""
2018-03-01,Formosa,No residentes,1579,""
2018-03-01,Gualeguaychú,Total,25348,""
2018-03-01,Gualeguaychú,Residentes,24639,""
2018-03-01,Gualeguaychú,No residentes,709,""
2018-03-01,Jujuy,Total,21621,""
2018-03-01,Jujuy,Residentes,19180,""
2018-03-01,Jujuy,No residentes,2441,""
2018-03-01,La Angostura,Total,29377,""
2018-03-01,La Angostura,Residentes,25710,""
2018-03-01,La Angostura,No residentes,3667,""
2018-03-01,La Falda,Total,35404,""
2018-03-01,La Falda,Residentes,35396,""
2018-03-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,La Rioja,Total,9758,""
2018-03-01,La Rioja,Residentes,9140,""
2018-03-01,La Rioja,No residentes,618,""
2018-03-01,Las Grutas,Total,9907,""
2018-03-01,Las Grutas,Residentes,9874,""
2018-03-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Malargue-Las Leñas,Total,7856,""
2018-03-01,Malargue-Las Leñas,Residentes,7292,""
2018-03-01,Malargue-Las Leñas,No residentes,564,""
2018-03-01,Mar Chiquita,Total,15353,""
2018-03-01,Mar Chiquita,Residentes,15353,""
2018-03-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Mar del Plata,Total,451499,""
2018-03-01,Mar del Plata,Residentes,448595,""
2018-03-01,Mar del Plata,No residentes,2904,""
2018-03-01,Mendoza,Total,134886,""
2018-03-01,Mendoza,Residentes,84256,""
2018-03-01,Mendoza,No residentes,50630,""
2018-03-01,Merlo,Total,48765,""
2018-03-01,Merlo,Residentes,48704,""
2018-03-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Mina Clavero,Total,44322,""
2018-03-01,Mina Clavero,Residentes,44262,""
2018-03-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Neuquén,Total,37485,""
2018-03-01,Neuquén,Residentes,35400,""
2018-03-01,Neuquén,No residentes,2085,""
2018-03-01,Paraná,Total,15281,""
2018-03-01,Paraná,Residentes,14916,""
2018-03-01,Paraná,No residentes,365,""
2018-03-01,Pinamar,Total,100620,""
2018-03-01,Pinamar,Residentes,100461,""
2018-03-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Posadas,Total,25014,""
2018-03-01,Posadas,Residentes,20514,""
2018-03-01,Posadas,No residentes,4500,""
2018-03-01,Puerto Iguazú,Total,113935,""
2018-03-01,Puerto Iguazú,Residentes,74366,""
2018-03-01,Puerto Iguazú,No residentes,39569,""
2018-03-01,Puerto Madryn,Total,23458,""
2018-03-01,Puerto Madryn,Residentes,21304,""
2018-03-01,Puerto Madryn,No residentes,2154,""
2018-03-01,Rafaela,Total,12256,""
2018-03-01,Rafaela,Residentes,12050,""
2018-03-01,Rafaela,No residentes,206,""
2018-03-01,Resistencia,Total,28560,""
2018-03-01,Resistencia,Residentes,27294,""
2018-03-01,Resistencia,No residentes,1266,""
2018-03-01,Rio Gallegos,Total,15629,""
2018-03-01,Rio Gallegos,Residentes,14621,""
2018-03-01,Rio Gallegos,No residentes,1008,""
2018-03-01,Rosario,Total,72955,""
2018-03-01,Rosario,Residentes,65722,""
2018-03-01,Rosario,No residentes,7233,""
2018-03-01,Río Cuarto,Total,17980,""
2018-03-01,Río Cuarto,Residentes,17522,""
2018-03-01,Río Cuarto,No residentes,458,""
2018-03-01,Salta,Total,101929,""
2018-03-01,Salta,Residentes,82751,""
2018-03-01,Salta,No residentes,19178,""
2018-03-01,San Juan,Total,21654,""
2018-03-01,San Juan,Residentes,18586,""
2018-03-01,San Juan,No residentes,3068,""
2018-03-01,San Luis,Total,21888,""
2018-03-01,San Luis,Residentes,21116,""
2018-03-01,San Luis,No residentes,772,""
2018-03-01,San Martín de los Andes,Total,44198,""
2018-03-01,San Martín de los Andes,Residentes,40594,""
2018-03-01,San Martín de los Andes,No residentes,3604,""
2018-03-01,San Rafael,Total,28506,""
2018-03-01,San Rafael,Residentes,28193,""
2018-03-01,San Rafael,No residentes,313,""
2018-03-01,Santa Fe,Total,21065,""
2018-03-01,Santa Fe,Residentes,19627,""
2018-03-01,Santa Fe,No residentes,1438,""
2018-03-01,Santa Rosa,Total,17392,""
2018-03-01,Santa Rosa,Residentes,17137,""
2018-03-01,Santa Rosa,No residentes,255,""
2018-03-01,Santiago del Estero,Total,16408,""
2018-03-01,Santiago del Estero,Residentes,16005,""
2018-03-01,Santiago del Estero,No residentes,403,""
2018-03-01,Tandil,Total,33899,""
2018-03-01,Tandil,Residentes,32994,""
2018-03-01,Tandil,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Termas,Total,41209,""
2018-03-01,Termas,Residentes,41011,""
2018-03-01,Termas,No residentes,198,""
2018-03-01,Tucumán,Total,49017,""
2018-03-01,Tucumán,Residentes,47092,""
2018-03-01,Tucumán,No residentes,1925,""
2018-03-01,Ushuaia,Total,70114,""
2018-03-01,Ushuaia,Residentes,38713,""
2018-03-01,Ushuaia,No residentes,31401,""
2018-03-01,Valle de Uco,Total,36440,""
2018-03-01,Valle de Uco,Residentes,25764,""
2018-03-01,Valle de Uco,No residentes,10676,""
2018-03-01,Viedma,Total,3630,""
2018-03-01,Viedma,Residentes,3578,""
2018-03-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Villa General Belgrano,Total,40948,""
2018-03-01,Villa General Belgrano,Residentes,39809,""
2018-03-01,Villa General Belgrano,No residentes,1139,""
2018-03-01,Villa Gesell,Total,160096,""
2018-03-01,Villa Gesell,Residentes,160083,""
2018-03-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Bahía Blanca,Total,14967,""
2018-04-01,Bahía Blanca,Residentes,14246,""
2018-04-01,Bahía Blanca,No residentes,721,""
2018-04-01,Bariloche,Total,122681,""
2018-04-01,Bariloche,Residentes,96190,""
2018-04-01,Bariloche,No residentes,26491,""
2018-04-01,CABA,Total,936792,""
2018-04-01,CABA,Residentes,497895,""
2018-04-01,CABA,No residentes,438897,""
2018-04-01,Cafayate,Total,13119,""
2018-04-01,Cafayate,Residentes,10794,""
2018-04-01,Cafayate,No residentes,2325,""
2018-04-01,Calafate,Total,60277,""
2018-04-01,Calafate,Residentes,34278,""
2018-04-01,Calafate,No residentes,25999,""
2018-04-01,Carlos Paz,Total,109743,""
2018-04-01,Carlos Paz,Residentes,105924,""
2018-04-01,Carlos Paz,No residentes,3819,""
2018-04-01,Catamarca,Total,13275,""
2018-04-01,Catamarca,Residentes,13066,""
2018-04-01,Catamarca,No residentes,209,""
2018-04-01,Corrientes,Total,19273,""
2018-04-01,Corrientes,Residentes,16565,""
2018-04-01,Corrientes,No residentes,2708,""
2018-04-01,Córdoba,Total,73793,""
2018-04-01,Córdoba,Residentes,61602,""
2018-04-01,Córdoba,No residentes,12191,""
2018-04-01,Formosa,Total,11973,""
2018-04-01,Formosa,Residentes,10577,""
2018-04-01,Formosa,No residentes,1396,""
2018-04-01,Gualeguaychú,Total,14613,""
2018-04-01,Gualeguaychú,Residentes,14027,""
2018-04-01,Gualeguaychú,No residentes,586,""
2018-04-01,Jujuy,Total,22930,""
2018-04-01,Jujuy,Residentes,20103,""
2018-04-01,Jujuy,No residentes,2827,""
2018-04-01,La Angostura,Total,16795,""
2018-04-01,La Angostura,Residentes,15160,""
2018-04-01,La Angostura,No residentes,1635,""
2018-04-01,La Falda,Total,21189,""
2018-04-01,La Falda,Residentes,21185,""
2018-04-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,La Rioja,Total,9532,""
2018-04-01,La Rioja,Residentes,9295,""
2018-04-01,La Rioja,No residentes,237,""
2018-04-01,Las Grutas,Total,2906,""
2018-04-01,Las Grutas,Residentes,2883,""
2018-04-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Malargue-Las Leñas,Total,7348,""
2018-04-01,Malargue-Las Leñas,Residentes,6927,""
2018-04-01,Malargue-Las Leñas,No residentes,421,""
2018-04-01,Mar Chiquita,Total,13784,""
2018-04-01,Mar Chiquita,Residentes,13756,""
2018-04-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Mar del Plata,Total,199454,""
2018-04-01,Mar del Plata,Residentes,197441,""
2018-04-01,Mar del Plata,No residentes,2013,""
2018-04-01,Mendoza,Total,114843,""
2018-04-01,Mendoza,Residentes,64039,""
2018-04-01,Mendoza,No residentes,50804,""
2018-04-01,Merlo,Total,37350,""
2018-04-01,Merlo,Residentes,37222,""
2018-04-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Mina Clavero,Total,22011,""
2018-04-01,Mina Clavero,Residentes,22011,""
2018-04-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Neuquén,Total,34964,""
2018-04-01,Neuquén,Residentes,32411,""
2018-04-01,Neuquén,No residentes,2553,""
2018-04-01,Paraná,Total,13497,""
2018-04-01,Paraná,Residentes,13214,""
2018-04-01,Paraná,No residentes,283,""
2018-04-01,Pinamar,Total,45796,""
2018-04-01,Pinamar,Residentes,45758,""
2018-04-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Posadas,Total,23755,""
2018-04-01,Posadas,Residentes,19048,""
2018-04-01,Posadas,No residentes,4707,""
2018-04-01,Puerto Iguazú,Total,107202,""
2018-04-01,Puerto Iguazú,Residentes,73391,""
2018-04-01,Puerto Iguazú,No residentes,33811,""
2018-04-01,Puerto Madryn,Total,16772,""
2018-04-01,Puerto Madryn,Residentes,15832,""
2018-04-01,Puerto Madryn,No residentes,940,""
2018-04-01,Rafaela,Total,14695,""
2018-04-01,Rafaela,Residentes,14469,""
2018-04-01,Rafaela,No residentes,226,""
2018-04-01,Resistencia,Total,27882,""
2018-04-01,Resistencia,Residentes,26447,""
2018-04-01,Resistencia,No residentes,1435,""
2018-04-01,Rio Gallegos,Total,12747,""
2018-04-01,Rio Gallegos,Residentes,12108,""
2018-04-01,Rio Gallegos,No residentes,639,""
2018-04-01,Rosario,Total,68738,""
2018-04-01,Rosario,Residentes,62344,""
2018-04-01,Rosario,No residentes,6394,""
2018-04-01,Río Cuarto,Total,15583,""
2018-04-01,Río Cuarto,Residentes,15293,""
2018-04-01,Río Cuarto,No residentes,290,""
2018-04-01,Salta,Total,104881,""
2018-04-01,Salta,Residentes,87901,""
2018-04-01,Salta,No residentes,16980,""
2018-04-01,San Juan,Total,18862,""
2018-04-01,San Juan,Residentes,15736,""
2018-04-01,San Juan,No residentes,3126,""
2018-04-01,San Luis,Total,19669,""
2018-04-01,San Luis,Residentes,18813,""
2018-04-01,San Luis,No residentes,856,""
2018-04-01,San Martín de los Andes,Total,26677,""
2018-04-01,San Martín de los Andes,Residentes,23665,""
2018-04-01,San Martín de los Andes,No residentes,3012,""
2018-04-01,San Rafael,Total,21672,""
2018-04-01,San Rafael,Residentes,20919,""
2018-04-01,San Rafael,No residentes,753,""
2018-04-01,Santa Fe,Total,24167,""
2018-04-01,Santa Fe,Residentes,22696,""
2018-04-01,Santa Fe,No residentes,1471,""
2018-04-01,Santa Rosa,Total,17048,""
2018-04-01,Santa Rosa,Residentes,16755,""
2018-04-01,Santa Rosa,No residentes,293,""
2018-04-01,Santiago del Estero,Total,16852,""
2018-04-01,Santiago del Estero,Residentes,16147,""
2018-04-01,Santiago del Estero,No residentes,705,""
2018-04-01,Tandil,Total,31566,""
2018-04-01,Tandil,Residentes,31060,""
2018-04-01,Tandil,No residentes,506,""
2018-04-01,Termas,Total,60962,""
2018-04-01,Termas,Residentes,52554,""
2018-04-01,Termas,No residentes,8408,""
2018-04-01,Tucumán,Total,52041,""
2018-04-01,Tucumán,Residentes,48591,""
2018-04-01,Tucumán,No residentes,3450,""
2018-04-01,Ushuaia,Total,40574,""
2018-04-01,Ushuaia,Residentes,27657,""
