indice_tiempo,localidad,origen_viajeros,viajeros,observaciones
2018-03-01,Gualeguaychú,Total,9518,""
2018-03-01,Gualeguaychú,Residentes,9265,""
2018-03-01,Gualeguaychú,No residentes,253,""
2018-03-01,Jujuy,Total,13144,""
2018-03-01,Jujuy,Residentes,11644,""
2018-03-01,Jujuy,No residentes,1500,""
2018-03-01,La Angostura,Total,11820,""
2018-03-01,La Angostura,Residentes,9950,""
2018-03-01,La Angostura,No residentes,1870,""
2018-03-01,La Falda,Total,10447,""
2018-03-01,La Falda,Residentes,10439,""
2018-03-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,La Rioja,Total,6209,""
2018-03-01,La Rioja,Residentes,5878,""
2018-03-01,La Rioja,No residentes,331,""
2018-03-01,Las Grutas,Total,4043,""
2018-03-01,Las Grutas,Residentes,4018,""
2018-03-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Malargue-Las Leñas,Total,2500,""
2018-03-01,Malargue-Las Leñas,Residentes,2316,""
2018-03-01,Malargue-Las Leñas,No residentes,184,""
2018-03-01,Mar Chiquita,Total,5631,""
2018-03-01,Mar Chiquita,Residentes,5631,""
2018-03-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Mar del Plata,Total,123026,""
2018-03-01,Mar del Plata,Residentes,121999,""
2018-03-01,Mar del Plata,No residentes,1027,""
2018-03-01,Mendoza,Total,57180,""
2018-03-01,Mendoza,Residentes,35732,""
2018-03-01,Mendoza,No residentes,21448,""
2018-03-01,Merlo,Total,14853,""
2018-03-01,Merlo,Residentes,14810,""
2018-03-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Mina Clavero,Total,10625,""
2018-03-01,Mina Clavero,Residentes,10612,""
2018-03-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Neuquén,Total,22997,""
2018-03-01,Neuquén,Residentes,21640,""
2018-03-01,Neuquén,No residentes,1357,""
2018-03-01,Paraná,Total,8975,""
2018-03-01,Paraná,Residentes,8792,""
2018-03-01,Paraná,No residentes,183,""
2018-03-01,Pinamar,Total,32323,""
2018-03-01,Pinamar,Residentes,32275,""
2018-03-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Posadas,Total,14810,""
2018-03-01,Posadas,Residentes,12216,""
2018-03-01,Posadas,No residentes,2594,""
2018-03-01,Puerto Iguazú,Total,41497,""
2018-03-01,Puerto Iguazú,Residentes,25446,""
2018-03-01,Puerto Iguazú,No residentes,16051,""
2018-03-01,Puerto Madryn,Total,10771,""
2018-03-01,Puerto Madryn,Residentes,9841,""
2018-03-01,Puerto Madryn,No residentes,930,""
2018-03-01,Rafaela,Total,6043,""
2018-03-01,Rafaela,Residentes,5935,""
2018-03-01,Rafaela,No residentes,108,""
2018-03-01,Resistencia,Total,18149,""
2018-03-01,Resistencia,Residentes,17329,""
2018-03-01,Resistencia,No residentes,820,""
2018-03-01,Rio Gallegos,Total,10376,""
2018-03-01,Rio Gallegos,Residentes,9756,""
2018-03-01,Rio Gallegos,No residentes,620,""
2018-03-01,Rosario,Total,42859,""
2018-03-01,Rosario,Residentes,39301,""
2018-03-01,Rosario,No residentes,3558,""
2018-03-01,Río Cuarto,Total,11521,""
2018-03-01,Río Cuarto,Residentes,11228,""
2018-03-01,Río Cuarto,No residentes,293,""
2018-03-01,Salta,Total,52178,""
2018-03-01,Salta,Residentes,41322,""
2018-03-01,Salta,No residentes,10856,""
2018-03-01,San Juan,Total,12147,""
2018-03-01,San Juan,Residentes,10469,""
2018-03-01,San Juan,No residentes,1678,""
2018-03-01,San Luis,Total,14083,""
2018-03-01,San Luis,Residentes,13688,""
2018-03-01,San Luis,No residentes,395,""
2018-03-01,San Martín de los Andes,Total,16586,""
2018-03-01,San Martín de los Andes,Residentes,15038,""
2018-03-01,San Martín de los Andes,No residentes,1548,""
2018-03-01,San Rafael,Total,8655,""
2018-03-01,San Rafael,Residentes,8495,""
2018-03-01,San Rafael,No residentes,160,""
2018-03-01,Santa Fe,Total,14571,""
2018-03-01,Santa Fe,Residentes,13504,""
2018-03-01,Santa Fe,No residentes,1067,""
2018-03-01,Santa Rosa,Total,10758,""
2018-03-01,Santa Rosa,Residentes,10566,""
2018-03-01,Santa Rosa,No residentes,192,""
2018-03-01,Santiago del Estero,Total,11248,""
2018-03-01,Santiago del Estero,Residentes,11043,""
2018-03-01,Santiago del Estero,No residentes,205,""
2018-03-01,Tandil,Total,15853,""
2018-03-01,Tandil,Residentes,15759,""
2018-03-01,Tandil,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Termas,Total,15785,""
2018-03-01,Termas,Residentes,15667,""
2018-03-01,Termas,No residentes,118,""
2018-03-01,Tucumán,Total,30771,""
2018-03-01,Tucumán,Residentes,29754,""
2018-03-01,Tucumán,No residentes,1017,""
2018-03-01,Ushuaia,Total,31267,""
2018-03-01,Ushuaia,Residentes,16187,""
2018-03-01,Ushuaia,No residentes,15080,""
2018-03-01,Valle de Uco,Total,15668,""
2018-03-01,Valle de Uco,Residentes,9993,""
2018-03-01,Valle de Uco,No residentes,5675,""
2018-03-01,Viedma,Total,2628,""
2018-03-01,Viedma,Residentes,2599,""
2018-03-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Villa General Belgrano,Total,12431,""
2018-03-01,Villa General Belgrano,Residentes,12087,""
2018-03-01,Villa General Belgrano,No residentes,344,""
2018-03-01,Villa Gesell,Total,43158,""
2018-03-01,Villa Gesell,Residentes,43152,""
2018-03-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
