indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2007-12-01,Patagonia,No residentes,354346,""
2008-01-01,Buenos Aires,Residentes,1871320,""
2008-01-01,Buenos Aires,No residentes,28446,""
2008-01-01,CABA,Residentes,326013,""
2008-01-01,CABA,No residentes,513633,""
2008-01-01,Cuyo,Residentes,439982,""
2008-01-01,Cuyo,No residentes,68112,""
2008-01-01,Córdoba,Residentes,1063710,""
2008-01-01,Córdoba,No residentes,24406,""
2008-01-01,Litoral,Residentes,495107,""
2008-01-01,Litoral,No residentes,80979,""
2008-01-01,Norte,Residentes,267030,""
2008-01-01,Norte,No residentes,34412,""
2008-01-01,Patagonia,Residentes,804300,""
2008-01-01,Patagonia,No residentes,443321,""
2008-02-01,Buenos Aires,Residentes,1539607,""
2008-02-01,Buenos Aires,No residentes,16178,""
2008-02-01,CABA,Residentes,343442,""
2008-02-01,CABA,No residentes,491174,""
2008-02-01,Cuyo,Residentes,381908,""
2008-02-01,Cuyo,No residentes,87177,""
2008-02-01,Córdoba,Residentes,913167,""
2008-02-01,Córdoba,No residentes,19724,""
2008-02-01,Litoral,Residentes,446151,""
2008-02-01,Litoral,No residentes,61875,""
2008-02-01,Norte,Residentes,223723,""
2008-02-01,Norte,No residentes,36514,""
2008-02-01,Patagonia,Residentes,616516,""
2008-02-01,Patagonia,No residentes,382799,""
2008-03-01,Buenos Aires,Residentes,926709,""
2008-03-01,Buenos Aires,No residentes,10435,""
2008-03-01,CABA,Residentes,399872,""
2008-03-01,CABA,No residentes,541686,""
2008-03-01,Cuyo,Residentes,366303,""
2008-03-01,Cuyo,No residentes,64712,""
2008-03-01,Córdoba,Residentes,602280,""
2008-03-01,Córdoba,No residentes,21691,""
2008-03-01,Litoral,Residentes,401606,""
2008-03-01,Litoral,No residentes,56602,""
2008-03-01,Norte,Residentes,240986,""
2008-03-01,Norte,No residentes,33094,""
2008-03-01,Patagonia,Residentes,486852,""
2008-03-01,Patagonia,No residentes,289764,""
2008-04-01,Buenos Aires,Residentes,338176,""
2008-04-01,Buenos Aires,No residentes,6982,""
2008-04-01,CABA,Residentes,406272,""
2008-04-01,CABA,No residentes,462830,""
2008-04-01,Cuyo,Residentes,229607,""
2008-04-01,Cuyo,No residentes,48062,""
2008-04-01,Córdoba,Residentes,279844,""
2008-04-01,Córdoba,No residentes,18355,""
2008-04-01,Litoral,Residentes,316272,""
2008-04-01,Litoral,No residentes,46468,""
2008-04-01,Norte,Residentes,183823,""
2008-04-01,Norte,No residentes,28117,""
2008-04-01,Patagonia,Residentes,293637,""
2008-04-01,Patagonia,No residentes,135216,""
2008-05-01,Buenos Aires,Residentes,254574,""
2008-05-01,Buenos Aires,No residentes,5254,""
2008-05-01,CABA,Residentes,422640,""
2008-05-01,CABA,No residentes,487137,""
2008-05-01,Cuyo,Residentes,238544,""
2008-05-01,Cuyo,No residentes,45044,""
2008-05-01,Córdoba,Residentes,239780,""
2008-05-01,Córdoba,No residentes,14397,""
2008-05-01,Litoral,Residentes,315439,""
2008-05-01,Litoral,No residentes,41575,""
2008-05-01,Norte,Residentes,216564,""
2008-05-01,Norte,No residentes,23414,""
2008-05-01,Patagonia,Residentes,216936,""
2008-05-01,Patagonia,No residentes,60636,""
2008-06-01,Buenos Aires,Residentes,211599,""
2008-06-01,Buenos Aires,No residentes,4392,""
2008-06-01,CABA,Residentes,384613,""
2008-06-01,CABA,No residentes,427686,""
2008-06-01,Cuyo,Residentes,167167,""
2008-06-01,Cuyo,No residentes,26522,""
2008-06-01,Córdoba,Residentes,172865,""
2008-06-01,Córdoba,No residentes,11405,""
2008-06-01,Litoral,Residentes,296270,""
2008-06-01,Litoral,No residentes,34092,""
2008-06-01,Norte,Residentes,207201,""
2008-06-01,Norte,No residentes,19065,""
2008-06-01,Patagonia,Residentes,224773,""
2008-06-01,Patagonia,No residentes,77459,""
2008-07-01,Buenos Aires,Residentes,319949,""
2008-07-01,Buenos Aires,No residentes,6152,""
2008-07-01,CABA,Residentes,486829,""
2008-07-01,CABA,No residentes,534505,""
2008-07-01,Cuyo,Residentes,307977,""
2008-07-01,Cuyo,No residentes,45542,""
2008-07-01,Córdoba,Residentes,385531,""
2008-07-01,Córdoba,No residentes,13524,""
2008-07-01,Litoral,Residentes,387606,""
2008-07-01,Litoral,No residentes,45811,""
2008-07-01,Norte,Residentes,416946,""
2008-07-01,Norte,No residentes,30826,""
2008-07-01,Patagonia,Residentes,453247,""
2008-07-01,Patagonia,No residentes,297677,""
2008-08-01,Buenos Aires,Residentes,379633,""
2008-08-01,Buenos Aires,No residentes,6325,""
2008-08-01,CABA,Residentes,458646,""
2008-08-01,CABA,No residentes,477414,""
2008-08-01,Cuyo,Residentes,301254,""
2008-08-01,Cuyo,No residentes,35081,""
2008-08-01,Córdoba,Residentes,351725,""
2008-08-01,Córdoba,No residentes,13382,""
2008-08-01,Litoral,Residentes,397584,""
2008-08-01,Litoral,No residentes,54910,""
2008-08-01,Norte,Residentes,367973,""
2008-08-01,Norte,No residentes,26376,""
2008-08-01,Patagonia,Residentes,585866,""
2008-08-01,Patagonia,No residentes,200765,""
2008-09-01,Buenos Aires,Residentes,300463,""
