indice_tiempo,region_de_destino,origen_viajeros,estadia_media_en_noches,observaciones
2009-02-01,Litoral,No residentes,2.1,""
2009-02-01,Norte,Total,1.7,""
2009-02-01,Norte,Residentes,1.7,""
2009-02-01,Norte,No residentes,1.6,""
2009-02-01,Patagonia,Total,2.4,""
2009-02-01,Patagonia,Residentes,2.5,""
2009-02-01,Patagonia,No residentes,2.3,""
2009-03-01,Buenos Aires,Total,3.3,""
2009-03-01,Buenos Aires,Residentes,3.3,""
2009-03-01,Buenos Aires,No residentes,3.2,""
2009-03-01,CABA,Total,2.4,""
2009-03-01,CABA,Residentes,2.3,""
2009-03-01,CABA,No residentes,2.4,""
2009-03-01,Cuyo,Total,2.1,""
2009-03-01,Cuyo,Residentes,2.1,""
2009-03-01,Cuyo,No residentes,2.1,""
2009-03-01,Córdoba,Total,2.8,""
2009-03-01,Córdoba,Residentes,2.8,""
2009-03-01,Córdoba,No residentes,2.6,""
2009-03-01,Litoral,Total,1.7,""
2009-03-01,Litoral,Residentes,1.6,""
2009-03-01,Litoral,No residentes,2,""
2009-03-01,Norte,Total,1.7,""
2009-03-01,Norte,Residentes,1.6,""
2009-03-01,Norte,No residentes,1.9,""
2009-03-01,Patagonia,Total,2.2,""
2009-03-01,Patagonia,Residentes,2.2,""
2009-03-01,Patagonia,No residentes,2.3,""
2009-04-01,Buenos Aires,Total,2.6,""
2009-04-01,Buenos Aires,Residentes,2.6,""
2009-04-01,Buenos Aires,No residentes,2.7,""
2009-04-01,CABA,Total,2.4,""
2009-04-01,CABA,Residentes,2.3,""
2009-04-01,CABA,No residentes,2.4,""
2009-04-01,Cuyo,Total,2,""
2009-04-01,Cuyo,Residentes,2,""
2009-04-01,Cuyo,No residentes,2.2,""
2009-04-01,Córdoba,Total,2.4,""
2009-04-01,Córdoba,Residentes,2.4,""
2009-04-01,Córdoba,No residentes,2.6,""
2009-04-01,Litoral,Total,1.6,""
2009-04-01,Litoral,Residentes,1.6,""
2009-04-01,Litoral,No residentes,2,""
2009-04-01,Norte,Total,1.7,""
2009-04-01,Norte,Residentes,1.7,""
2009-04-01,Norte,No residentes,1.7,""
2009-04-01,Patagonia,Total,2.2,""
2009-04-01,Patagonia,Residentes,2.2,""
2009-04-01,Patagonia,No residentes,2.2,""
2009-05-01,Buenos Aires,Total,2.2,""
2009-05-01,Buenos Aires,Residentes,2.2,""
2009-05-01,Buenos Aires,No residentes,2.1,""
2009-05-01,CABA,Total,2.4,""
2009-05-01,CABA,Residentes,2.3,""
2009-05-01,CABA,No residentes,2.4,""
2009-05-01,Cuyo,Total,1.9,""
2009-05-01,Cuyo,Residentes,1.9,""
2009-05-01,Cuyo,No residentes,1.9,""
2009-05-01,Córdoba,Total,1.9,""
2009-05-01,Córdoba,Residentes,1.9,""
2009-05-01,Córdoba,No residentes,2.3,""
2009-05-01,Litoral,Total,1.5,""
2009-05-01,Litoral,Residentes,1.5,""
2009-05-01,Litoral,No residentes,1.9,""
2009-05-01,Norte,Total,1.7,""
